gene_id,name
596,AMMECR1
597,AMMECR1L
598,AMN1
599,AMN
600,AMOT
601,AMOTL1
602,AMOTL2
603,AMPD1
604,AMPD2
605,AMPD3
606,AMPH
607,AMT
608,AMTN
609,AMY1A
610,AMY2A
611,AMY2B
612,AMZ1
613,AMZ2
614,AMZ2P1
615,ANAPC10
616,ANAPC11
617,ANAPC13
618,ANAPC16
619,ANAPC1
620,ANAPC2
621,ANAPC4
622,ANAPC5
623,ANAPC7
624,ANG
625,ANGEL1
626,ANGEL2
627,ANGPT1
628,ANGPT2
629,ANGPT4
630,ANGPTL1
631,ANGPTL2
632,ANGPTL3
633,ANGPTL4
634,ANGPTL5
635,ANGPTL6
636,ANGPTL7
637,ANK1
638,ANK2
639,ANK3
640,ANKAR
641,ANKDD1A
642,ANKFN1
643,ANKFY1
644,ANKH
645,ANKHD1
646,ANKHD1-EIF4EBP3
647,ANKIB1
648,ANKK1
649,ANKLE1
650,ANKLE2
651,ANKMY1
652,ANKMY2
653,ANKRA2
654,ANKRD10
655,ANKRD11
656,ANKRD12
657,ANKRD1
658,ANKRD13A
659,ANKRD13B
660,ANKRD13C
661,ANKRD13D
662,ANKRD16
663,ANKRD17
664,ANKRD19
665,ANKRD20A3
666,ANKRD20A4
667,ANKRD20B
668,ANKRD22
669,ANKRD2
670,ANKRD23
671,ANKRD24
672,ANKRD26
673,ANKRD26P1
674,ANKRD27
675,ANKRD28
676,ANKRD29
677,ANKRD30A
678,ANKRD30B
679,ANKRD31
680,ANKRD32
681,ANKRD33
682,ANKRD34A
683,ANKRD34B
684,ANKRD34C
685,ANKRD35
686,ANKRD36
687,ANKRD36B
688,ANKRD36BP1
689,ANKRD37
690,ANKRD39
691,ANKRD40
692,ANKRD42
693,ANKRD43
694,ANKRD44
695,ANKRD45
696,ANKRD46
697,ANKRD49
698,ANKRD50
699,ANKRD52
700,ANKRD53
701,ANKRD54
702,ANKRD55
703,ANKRD56
704,ANKRD5
705,ANKRD57
706,ANKRD58
707,ANKRD6
708,ANKRD7
709,ANKRD9
710,ANKS1A
711,ANKS1B
712,ANKS3
713,ANKS4B
714,ANKS6
715,ANKZF1
716,ANLN
717,ANO10
718,ANO1
719,ANO2
720,ANO3
721,ANO4
722,ANO5
723,ANO6
724,ANO7
725,ANO8
726,ANO9
727,ANP32A
728,ANP32B
729,ANP32C
730,ANP32D
731,ANP32E
732,ANPEP
733,ANTXR1
734,ANTXR2
735,ANTXRL
736,ANUBL1
737,ANXA10
738,ANXA11
739,ANXA1
740,ANXA13
741,ANXA2
742,ANXA2P1
743,ANXA2P2
744,ANXA2P3
745,ANXA3
746,ANXA4
747,ANXA5
748,ANXA6
749,ANXA7
750,ANXA8
751,ANXA8L1
752,ANXA8L2
753,ANXA9
754,AOAH
755,AOC2
756,AOC3
757,AOX1
758,AOX2P
759,AP1AR
760,AP1B1
761,AP1G1
762,AP1G2
763,AP1M1
764,AP1M2
765,AP1S1
766,AP1S2
767,AP1S3
768,AP2A1
769,AP2A2
770,AP2B1
771,AP2M1
772,AP2S1
773,AP3B1
774,AP3B2
775,AP3D1
776,AP3M1
777,AP3M2
778,AP3S1
779,AP3S2
780,AP4B1
781,AP4E1
782,AP4M1
783,AP4S1
784,APAF1
785,APBA1
786,APBA2
787,APBA3
788,APBB1
789,APBB1IP
790,APBB2
791,APBB3
792,APC2
793,APC
794,APCDD1
795,APCDD1L
796,APCS
797,APEH
798,APEX1
799,APEX2
800,APH1A
801,APH1B
802,API5
803,APIP
804,APITD1
805,APLF
806,APLN
807,APLNR
808,APLP1
809,APLP2
810,APOA1
811,APOA1BP
812,APOA2
813,APOA4
814,APOA5
815,APOB
816,APOB48R
817,APOBEC1
818,APOBEC2
819,APOBEC3A
820,APOBEC3B
821,APOBEC3C
822,APOBEC3D
823,APOBEC3F
824,APOBEC3G
825,APOBEC3H
826,APOBEC4
827,APOC1
828,APOC1P1
829,APOC2
830,APOC3
831,APOC4
832,APOD
833,APOE
834,APOF
835,APOH
836,APOL1
837,APOL2
838,APOL3
839,APOL4
840,APOL5
841,APOL6
842,APOLD1
843,APOM
844,APOO
845,APOOL
846,APP
847,APPBP2
848,APPL1
849,APPL2
850,APRT
851,APTX
852,AQP10
853,AQP11
854,AQP12A
855,AQP12B
856,AQP1
857,AQP2
858,AQP3
859,AQP4
860,AQP5
861,AQP6
862,AQP7
863,AQP7P1
864,AQP7P3
865,AQP8
866,AQP9
867,AQPEP
868,AQR
869,AR
870,ARAF
871,ARAP1
872,ARAP2
873,ARAP3
874,ARC
875,ARCN1
876,AREG
877,ARF1
878,ARF3
879,ARF4
880,ARF5
881,ARF6
882,ARFGAP1
883,ARFGAP2
884,ARFGAP3
885,ARFGEF1
886,ARFGEF2
887,ARFIP1
888,ARFIP2
889,ARFRP1
890,ARG1
891,ARG2
892,ARGFX
893,ARGFXP2
894,ARGLU1
895,ARHGAP10
896,ARHGAP11A
897,ARHGAP11B
898,ARHGAP12
899,ARHGAP1
900,ARHGAP15
901,ARHGAP17
902,ARHGAP18
903,ARHGAP19
904,ARHGAP20
905,ARHGAP21
906,ARHGAP22
907,ARHGAP23
908,ARHGAP24
909,ARHGAP25
910,ARHGAP26
911,ARHGAP27
912,ARHGAP28
913,ARHGAP29
914,ARHGAP30
915,ARHGAP31
916,ARHGAP32
917,ARHGAP33
918,ARHGAP36
919,ARHGAP39
